N,종목명,현재가,전일비,등락률,액면가,매수호가
239.0,효성티앤씨,234000.0,"상승  3,000",+1.30%,5000.0,232500.0
240.0,두산퓨얼셀,15400.0,하락  480,-3.02%,100.0,15400.0
241.0,LX인터내셔널,25800.0,하락  150,-0.58%,5000.0,25800.0
242.0,TIGER 미국배당다우존스타겟커버드콜2호,10870.0,하락  15,-0.14%,0.0,10865.0
243.0,파라다이스,10790.0,상승  240,+2.27%,500.0,10790.0
244.0,오리온홀딩스,15790.0,하락  350,-2.17%,500.0,15770.0
245.0,KODEX 코스닥150,11910.0,하락  200,-1.65%,0.0,11905.0
246.0,하나 CD금리투자 ETN,103510.0,보합0,0.00%,0.0,103520.0
247.0,KODEX 2차전지산업,12730.0,하락  105,-0.82%,0.0,12725.0
248.0,HD현대마린엔진,28750.0,"상승  1,300",+4.74%,2500.0,28700.0
249.0,SK네트웍스,4395.0,하락  20,-0.45%,2500.0,4395.0
250.0,다우기술,21600.0,하락  200,-0.92%,500.0,21600.0
251.0,빙그레,98200.0,"상승  3,700",+3.92%,5000.0,98100.0
252.0,KODEX 25-12 은행채(AAA)액티브,102040.0,상승  15,+0.01%,0.0,102030.0
253.0,세방전지,68700.0,하락  300,-0.43%,500.0,68700.0
254.0,LG화학우,124900.0,"상승  3,500",+2.88%,5000.0,124800.0
255.0,LX세미콘,58600.0,상승  400,+0.69%,500.0,58400.0
256.0,KODEX 25-11 은행채(AA-이상)PLUS액티브,10485.0,보합0,0.00%,0.0,10480.0
257.0,RISE CD금리액티브(합성),103410.0,보합0,0.00%,0.0,103410.0
258.0,삼성화재우,297000.0,"상승  3,000",+1.02%,500.0,297000.0
259.0,태영건설,3215.0,하락  25,-0.77%,500.0,3210.0
260.0,RISE 미국S&P500,18015.0,하락  70,-0.39%,0.0,18015.0
261.0,KB발해인프라,7550.0,보합0,0.00%,0.0,7530.0
262.0,대덕전자,18600.0,상승  450,+2.48%,500.0,18480.0
263.0,TIGER 2차전지테마,15335.0,하락  165,-1.06%,0.0,15330.0
264.0,솔루엠,17730.0,하락  20,-0.11%,500.0,17720.0
265.0,TIGER 종합채권(AA-이상)액티브,56590.0,상승  5,+0.01%,0.0,56585.0
266.0,영풍,480000.0,"하락  11,000",-2.24%,5000.0,480000.0
267.0,대상,25500.0,상승  650,+2.62%,1000.0,25500.0
268.0,대신증권,17250.0,상승  90,+0.52%,5000.0,17250.0
269.0,DI동일,45050.0,상승  350,+0.78%,500.0,44800.0
270.0,RISE 미국나스닥100,21285.0,하락  145,-0.68%,0.0,21280.0
